category,Leitos Enfermaria
04/01/2020,41
04/02/2020,35
04/03/2020,41
04/04/2020,26
04/05/2020,25
04/06/2020,29
04/07/2020,29
04/08/2020,20
04/09/2020,20
04/10/2020,14
04/11/2020,10
04/12/2020,11
04/13/2020,13
04/14/2020,12
04/15/2020,10
04/16/2020,12
04/17/2020,10
04/18/2020,10
04/19/2020,10
04/20/2020,13
04/21/2020,11
04/22/2020,14
04/23/2020,15
04/24/2020,11
04/25/2020,14
04/26/2020,11
04/27/2020,13
04/28/2020,16
04/29/2020,13
04/30/2020,12
05/01/2020,12
05/02/2020,11
05/03/2020,10
05/04/2020,29
05/05/2020,34
05/06/2020,32
05/07/2020,34
05/08/2020,26
05/09/2020,28
05/10/2020,30
05/11/2020,24
05/12/2020,24
05/13/2020,27
05/14/2020,37
05/15/2020,39
05/16/2020,38
05/17/2020,39
05/18/2020,38
05/19/2020,51
05/20/2020,42
05/21/2020,89
05/22/2020,46
05/23/2020,45
05/24/2020,53
05/25/2020,51
05/26/2020,60
05/27/2020,58
05/28/2020,58
05/29/2020,60
05/30/2020,58
05/31/2020,56
06/01/2020,62
06/02/2020,66
06/03/2020,73
06/04/2020,82
06/05/2020,90
06/06/2020,74
06/07/2020,80
06/08/2020,77
06/09/2020,78
06/10/2020,98
06/11/2020,99
06/12/2020,104
06/13/2020,105
06/14/2020,98
06/15/2020,101
06/16/2020,108
06/17/2020,128
06/18/2020,133
06/19/2020,129
06/20/2020,129
06/21/2020,143
06/22/2020,141
06/23/2020,161
06/24/2020,166
06/25/2020,188
06/26/2020,187
06/27/2020,188
06/28/2020,190
06/29/2020,215
06/30/2020,190
07/01/2020,197
07/02/2020,198
07/03/2020,215
07/04/2020,259
07/05/2020,266
07/06/2020,266
07/07/2020,268
07/08/2020,275
07/09/2020,282
07/10/2020,287
07/11/2020,290
07/12/2020,294
07/13/2020,336
07/14/2020,333
07/15/2020,350
07/16/2020,373
07/17/2020,383
07/18/2020,369
07/19/2020,354
07/20/2020,318
07/21/2020,386
07/22/2020,375
07/23/2020,429
07/24/2020,405
07/25/2020,388
07/26/2020,413
07/27/2020,389
07/28/2020,421
07/29/2020,396
07/30/2020,396
07/31/2020,380
08/01/2020,383
08/02/2020,398
08/03/2020,401
08/04/2020,411
08/05/2020,396
08/06/2020,394
08/07/2020,384
08/08/2020,360
08/09/2020,345
08/10/2020,397
08/11/2020,397
08/12/2020,408
08/13/2020,357
08/14/2020,386
08/15/2020,358
08/16/2020,394
08/17/2020,389
08/18/2020,366
08/19/2020,363
08/20/2020,365
08/21/2020,366
08/22/2020,355
08/23/2020,369
08/24/2020,353
08/25/2020,341
08/26/2020,348
08/27/2020,337
08/28/2020,353
08/29/2020,333
08/30/2020,356
08/31/2020,366
09/01/2020,383
09/02/2020,360
09/03/2020,379
09/04/2020,384
09/05/2020,323
09/06/2020,330
09/07/2020,331
09/08/2020,335
09/09/2020,335
09/10/2020,309
09/11/2020,316
09/12/2020,287
09/13/2020,333
09/14/2020,294
09/15/2020,311
09/16/2020,297
09/17/2020,287
09/18/2020,269
09/19/2020,266
09/20/2020,274
09/21/2020,274
09/22/2020,258
09/23/2020,257
09/24/2020,244
09/25/2020,234
09/26/2020,270
09/27/2020,265
09/28/2020,246
09/29/2020,244
09/30/2020,245
10/01/2020,262
10/02/2020,298
10/03/2020,234
10/04/2020,244
10/05/2020,248
