category,Óbitos acumulado
03/24/2020,1
03/26/2020,2
04/01/2020,3
04/02/2020,4
04/06/2020,5
04/08/2020,6
04/12/2020,7
04/13/2020,8
04/16/2020,9
04/19/2020,10
04/21/2020,11
04/25/2020,12
04/26/2020,14
04/29/2020,15
05/02/2020,16
05/05/2020,17
05/11/2020,18
05/12/2020,19
05/13/2020,21
05/18/2020,24
05/19/2020,26
05/22/2020,27
05/23/2020,29
05/25/2020,32
05/24/2020,31
05/27/2020,33
05/28/2020,34
05/29/2020,35
05/30/2020,37
05/31/2020,38
06/01/2020,41
06/02/2020,43
06/03/2020,44
06/04/2020,45
06/07/2020,47
06/08/2020,48
06/09/2020,50
06/10/2020,53
06/11/2020,54
06/13/2020,58
06/14/2020,59
06/15/2020,60
06/16/2020,61
06/17/2020,64
06/18/2020,65
06/19/2020,70
06/21/2020,72
06/22/2020,74
06/23/2020,75
06/24/2020,78
06/25/2020,79
06/26/2020,80
06/27/2020,83
06/28/2020,89
06/29/2020,91
06/30/2020,94
07/01/2020,96
07/02/2020,101
07/03/2020,117
07/04/2020,121
07/05/2020,130
07/06/2020,138
07/07/2020,141
07/08/2020,143
07/09/2020,152
07/10/2020,156
07/11/2020,162
07/12/2020,174
07/13/2020,182
07/14/2020,188
07/15/2020,195
07/16/2020,204
07/17/2020,214
07/18/2020,224
07/19/2020,236
07/20/2020,243
07/21/2020,257
07/22/2020,263
07/23/2020,269
07/24/2020,280
07/25/2020,289
07/26/2020,299
07/27/2020,312
07/28/2020,327
07/29/2020,341
07/30/2020,351
07/31/2020,360
08/01/2020,376
08/02/2020,389
08/03/2020,408
08/04/2020,418
08/05/2020,434
08/06/2020,441
08/07/2020,451
08/08/2020,461
08/09/2020,473
08/10/2020,487
08/11/2020,503
08/12/2020,513
08/13/2020,521
08/14/2020,531
08/15/2020,535
08/16/2020,544
08/17/2020,552
08/18/2020,560
08/19/2020,561
08/20/2020,568
08/21/2020,589
08/22/2020,593
08/23/2020,606
08/24/2020,607
