category,Óbitos acumulado
03/24/2020,1
03/26/2020,2
04/01/2020,3
04/02/2020,4
04/06/2020,5
04/08/2020,6
04/12/2020,7
04/13/2020,8
04/16/2020,9
04/19/2020,10
04/21/2020,11
04/25/2020,12
04/26/2020,14
04/29/2020,15
05/02/2020,16
05/05/2020,17
05/11/2020,18
05/12/2020,19
05/13/2020,21
05/18/2020,24
05/19/2020,26
05/22/2020,27
05/23/2020,29
05/24/2020,31
05/25/2020,32
05/27/2020,33
05/28/2020,34
05/29/2020,35
05/30/2020,37
05/31/2020,38
06/01/2020,41
06/02/2020,43
06/03/2020,44
06/04/2020,45
06/07/2020,47
06/08/2020,48
06/09/2020,50
06/10/2020,53
06/11/2020,54
06/13/2020,58
06/14/2020,59
06/15/2020,60
06/16/2020,61
06/17/2020,64
06/18/2020,65
06/19/2020,70
06/21/2020,72
06/22/2020,74
06/23/2020,75
06/24/2020,78
06/25/2020,79
06/26/2020,80
06/27/2020,83
06/28/2020,89
06/29/2020,91
06/30/2020,94
07/01/2020,96
07/02/2020,101
07/03/2020,117
07/04/2020,121
07/05/2020,130
07/06/2020,138
07/07/2020,141
07/08/2020,143
07/09/2020,152
07/10/2020,156
07/11/2020,162
07/12/2020,174
07/13/2020,182
07/14/2020,188
07/15/2020,195
07/16/2020,204
07/17/2020,214
07/18/2020,224
07/19/2020,236
07/20/2020,243
07/21/2020,257
07/22/2020,263
07/23/2020,270
07/24/2020,281
07/25/2020,290
07/26/2020,300
07/27/2020,312
07/28/2020,327
07/29/2020,341
07/30/2020,351
07/31/2020,361
08/01/2020,377
08/02/2020,390
08/03/2020,409
08/04/2020,418
08/05/2020,434
08/06/2020,441
08/07/2020,451
08/08/2020,461
08/09/2020,473
08/10/2020,487
08/11/2020,503
08/12/2020,513
08/13/2020,523
08/14/2020,533
08/15/2020,539
08/16/2020,548
08/17/2020,557
08/18/2020,571
08/19/2020,580
08/20/2020,592
08/21/2020,601
08/22/2020,618
08/23/2020,629
08/24/2020,648
08/25/2020,657
08/26/2020,672
08/27/2020,688
08/28/2020,696
08/29/2020,710
08/30/2020,719
08/31/2020,731
09/01/2020,737
09/02/2020,753
09/03/2020,765
09/04/2020,775
09/05/2020,792
09/06/2020,803
09/07/2020,818
09/08/2020,829
09/09/2020,841
09/10/2020,852
09/11/2020,864
09/12/2020,879
09/13/2020,888
09/14/2020,896
09/15/2020,901
09/16/2020,913
09/17/2020,926
09/18/2020,937
09/19/2020,948
09/20/2020,957
09/21/2020,963
09/22/2020,967
09/23/2020,970
09/24/2020,977
09/25/2020,991
09/26/2020,1007
09/27/2020,1020
09/28/2020,1028
09/29/2020,1032
09/30/2020,1038
10/01/2020,1045
10/02/2020,1056
10/03/2020,1062
10/04/2020,1065
10/05/2020,1066
