category,Casos por dia
03/13/2020,2
03/14/2020,1
03/16/2020,13
03/17/2020,8
03/18/2020,7
03/19/2020,1
03/20/2020,7
03/21/2020,2
03/22/2020,11
03/23/2020,12
03/24/2020,11
03/25/2020,15
03/26/2020,9
03/27/2020,18
03/28/2020,5
03/29/2020,8
03/30/2020,18
03/31/2020,24
04/01/2020,15
04/02/2020,25
04/03/2020,10
04/04/2020,2
04/05/2020,2
04/06/2020,12
04/07/2020,7
04/08/2020,12
04/09/2020,8
04/10/2020,4
04/11/2020,2
04/12/2020,5
04/13/2020,20
04/14/2020,14
04/15/2020,5
04/16/2020,8
04/17/2020,9
04/18/2020,1
04/19/2020,6
04/20/2020,3
04/21/2020,2
04/22/2020,5
04/23/2020,5
04/24/2020,9
04/25/2020,1
04/26/2020,7
04/27/2020,6
04/28/2020,2
04/29/2020,14
04/30/2020,18
05/01/2020,1
05/02/2020,5
05/03/2020,3
05/04/2020,7
05/05/2020,12
05/06/2020,10
05/07/2020,38
05/08/2020,23
05/09/2020,4
05/10/2020,5
05/11/2020,43
05/12/2020,25
05/13/2020,58
05/14/2020,44
05/15/2020,33
05/16/2020,14
05/17/2020,6
05/18/2020,28
05/19/2020,31
05/20/2020,38
05/21/2020,28
05/22/2020,40
05/23/2020,12
05/24/2020,17
05/25/2020,54
05/26/2020,60
05/27/2020,38
05/28/2020,52
05/29/2020,34
05/30/2020,9
05/31/2020,5
06/01/2020,44
06/02/2020,43
06/03/2020,72
06/04/2020,58
06/05/2020,74
06/06/2020,37
06/07/2020,26
06/08/2020,72
06/09/2020,97
06/10/2020,81
06/11/2020,38
06/12/2020,119
06/13/2020,41
06/14/2020,37
06/15/2020,118
06/16/2020,111
06/17/2020,138
06/18/2020,133
06/19/2020,78
06/20/2020,30
06/21/2020,97
06/22/2020,139
06/23/2020,139
06/24/2020,142
06/25/2020,119
06/26/2020,121
06/27/2020,79
06/28/2020,34
06/29/2020,167
06/30/2020,219
07/01/2020,131
07/02/2020,197
07/03/2020,229
07/04/2020,102
07/05/2020,56
07/06/2020,352
07/07/2020,283
07/08/2020,255
07/09/2020,222
07/10/2020,297
07/11/2020,75
07/12/2020,98
07/13/2020,303
07/14/2020,276
07/15/2020,312
07/16/2020,334
07/17/2020,355
07/18/2020,145
07/19/2020,309
07/20/2020,336
07/21/2020,494
07/22/2020,444
07/23/2020,442
07/24/2020,435
07/25/2020,493
07/26/2020,81
07/27/2020,432
07/28/2020,337
07/29/2020,365
07/30/2020,372
07/31/2020,529
08/01/2020,314
08/02/2020,211
08/03/2020,540
08/04/2020,449
08/05/2020,438
08/06/2020,432
08/07/2020,340
08/08/2020,108
08/09/2020,82
08/10/2020,496
08/11/2020,442
08/12/2020,410
08/13/2020,373
